content_id,content_type,thumbnail_url,title,summary,status,original_title
A0001,애니메이션,https://image.tmdb.org/t/p/w500/eV9i7GRcLbCzraWN4PdvRKKqtZv.jpg,영화 러브 라이브! 하스노소라 여학원 스쿨 아이돌 클럽 Bloom Garden Party,,개봉,映画 ラブライブ！蓮ノ空女学院スクールアイドルクラブ Bloom Garden Party
A0002,애니메이션,https://image.tmdb.org/t/p/w500/57SlsLysyEY2gJnR1vhCqXmGN9G.jpg,순례자들은 왜 돌아오지 않는가,"혐오와 차별이 존재하지 않는 '마을'의 아이들은 고통과 슬픔은 조금도 모른 채로 자란다. 아이들은 18세가 되면 마을 밖으로 순례를 다녀오는데 일부는 영영 귀환하지 않는다. 마을이 이토록 완벽한데, 왜 돌아오지 않는 것일까. 호기심을 억누르지 못한 데이지는 순례자들을 따라서 '시초지'를 떠돈다. 여전히 마을에서 안온한 일상을 보내던 소피는 잊고 있던 데이지와의 기억을 되찾고, 데이지가 왜 시초지로 향했는지 고심한다. 인간성의 회복은 인식으로부터 시작한다. 첨단의 과학이 개성을 거세하고 인간을 물화한 시대, 인류는 아이러니하게도 결함과 다름을 인지해야만 공감과 사랑을 체화할 수 있다. 주어진 평화를 떨치고 능동적인 삶을 선택해 떠나온 아이들은 종종 괴로울 것이다. 다만 더 자주 행복하다고 느낄 것이다.",개봉,순례자들은 왜 돌아오지 않는가
A0003,애니메이션,https://image.tmdb.org/t/p/w500/zlMu1pEUT2LuneUYttHXlWZ1ZzP.jpg,검은 고양이와 마녀의 교실,‘견습 마녀’ 스피카 버고는 마법을 쓸 수 없다. 꿈꾸던 마법학교에 합격하기 위해서는 스승이 필요하지만 돈도 연줄도 없다. 그때 인간 말을 구사하며 마법을 쓰는 수수께끼의 검은 고양이가 스피카 앞에 나타난다!! 마술을 배우고 싶은 스피카와 저주를 풀고 싶은 검은 고양이. 서로의 목적이 완벽하게 일치하며 비밀스러운 사제관계가 맺어진다! 저주를 푸는 열쇠는 ‘×××’에 키스?!,방영 중,黒猫と魔女の教室
A0004,애니메이션,https://image.tmdb.org/t/p/w500/jlUFMGnUUjPJysRdLOi64Icgugo.jpg,다다미 한 장짜리 방 만끽 생활!,"""여고생 in 만화 카페! 아키타에 사는 고등학생 모리타 메이코는 어느 날, 명문 여학교 ‘아마미야 여자 고등학교’의 특별 편입생으로 선발된다. 동경하던 도쿄에서의 학교생활에 기대와 불안을 안은 채 상경한 메이코. 그런 메이코를 기다리고 있는 것은 뜻밖에도 만화 카페 ‘헤지호그’였다. 카페 내부에 마련된 기숙사에서 개성 넘치는 기숙사생들과 함께 봉사활동의 일환으로 카페에서 일하게 되는데... 이렇게 메이코의 조금은 특별한 만화 카페 생활이 시작된다!""",방영 종료,一畳間まんきつ暮らし！
A0005,애니메이션,https://image.tmdb.org/t/p/w500/hrertHgFOWySasDqTEQCrjVHdxn.jpg,"카미이나 보탄, 취한 모습은 백합의 꽃","스무 살의 대학생, 카미이나 보탄은 취하면 조금 대담해져 두근거리는 한마디를…?!

21세기의 ""읽는 알콜"" 카미이나 보탄에게 취해보자구요.",방영 종료,上伊那ぼたん、酔へる姿は百合の花
A0006,애니메이션,https://image.tmdb.org/t/p/w500/1hzamo8nOZmurGQQ7P2uqpsGHek.jpg,킬 블루,"오오가미 쥬조는 아무리 어려운 의뢰라도 완수해 내는 전설의 킬러.

어느 날, 한 조직을 괴멸시킨 쥬조는 정체불명의 벌에 쏘여 정신을 잃고 만다.

정신을 차려보니 쥬조는 39세의 성인이 아닌, 13세 소년의 모습으로 변해 있었다!

당황하는 쥬조에게 보스로부터 「그 모습 그대로 중학교에 잠입하라」는 지령이 내려온다.

그를 기다리고 있는 것은 개성 넘치는 반 친구들과의 좌충우돌 학교생활이었는데――.

과연, 원래 모습으로 돌아갈 수 있을 것인가?! 쥬조를 노리는 자객들이 다가온다!",방영 중,キルアオ
A0007,애니메이션,https://image.tmdb.org/t/p/w500/mpbX1OQTNoWbqY0ixz280GLrURy.jpg,오타쿠에게 상냥한 갸루는 없다?!,"이상한 계기로 인해 음침하고 눈에 띄지 않는 오타쿠 남고생 세오 타쿠야한테같은 반 갸루 아마네 케이와 이지치 코토코가 말을 걸게 된다.쿨하지만 어딘가 허술하고 오타쿠 동지의 냄새가 나는 아마네와자리까지 포함해 가까운 느낌이 드는 밝은 성격의 이지치.아마네는 여동생의 영향으로 애니에 대해 아는 것일 뿐이며, 절대로 오타쿠가 아니라고 주장하는데...?서로 다른 매력 MAX의 갸루 두 명과 오타쿠 소년이취미를 통해 서로 끌리며 관계성이 깊어지는 러브 코미디!과연 오타쿠에게 상냥한 갸루는 있을까!?",방영 종료,オタクに優しいギャルはいない!?
A0008,애니메이션,https://image.tmdb.org/t/p/w500/8Q6m5MCclChHHm8WkDChGXnEnEm.jpg,반에서 두 번째로 귀여운 여자와 친구가 되었다,,방영 종료,クラスで２番目に可愛い女の子と友だちになった
A0009,애니메이션,https://image.tmdb.org/t/p/w500/8U9jHbzZxqsgsJkXWHlUESlI9i3.jpg,매리지 톡신,"수백 년 동안 살인 기술을 갈고 닦아 온 이들, 일명 ‘술사’. 그 중에서도 최강의 힘과 권력을 가진 5대 명가 ‘독술사’.독술사 가문의 후계자 게로 히카루는 비밀스런 직업에 종사하며 여성과 관계를 맺지 않은 채 살아왔다. 그에게 ‘결혼’은 거리가 먼 존재였다. 하지만 게로 가문의 가주는 ‘독술사’의 혈통이 끊어지는 걸 막기 위해 그의 여동생에게 강제로 후계자를 낳게 하겠다고 통보하고. 마침 게로는 임무 목표물이었던 실력파 결혼 사기꾼 키노사키 메이를 만난다. 후계자 문제를 해결하고 여동생을 지키기 위해 자신이 결혼하겠다고 결심한 게로는 그 자리에서 키노사키에게 결혼을 하게 도와달라고 요청한다.“... 그런 제안(프로포즈)은 처음이야.”실력파 결혼 사기꾼 키노사키의 조언을 받아 인생 최초의 초고난도 미션 ‘구혼 활동’을 시작한 일류 킬러 게로. 목표는 최고의 결혼이다.암살자와 결혼 사기꾼이 최강 파트너가 되어 도전하는, 세계 최강 난이도의 구혼 전투 액션이 시작된다!!",방영 중,マリッジトキシン
A0010,애니메이션,https://image.tmdb.org/t/p/w500/1bBCTwdIDdau06vQaNWc7bHErqq.jpg,라이어 게임,"어느 날 갑자기 배달된 소포. 거기에는 편지와 현금 1억 엔이 들어 있었다. 그것이 라이어 게임의 시작이었다.

30일 후 게임 종료일에 자신의 소지금 1억 엔을 반환한다. 규칙은 그것뿐. 요령껏 대전 상대의 소지금을 빼앗는 데 성공하면 승자는 1억 엔을 갖고, 패자는 1억 엔의 빚을 지게 된다….",방영 중,LIAR GAME
A0012,애니메이션,https://image.tmdb.org/t/p/w500/lzjtluV5ri5KXJWaMjlqviQcO5e.jpg,새의 랩소디,"성공과 인정의 상징인 새를 붙잡기 위해 수많은 사람들이 위로 기어오르지만, 반복되는 추락 끝에 한 인물은 그것이 소유할 수 있는 대상이 아님을 깨닫는다. 그는 새를 붙잡는 대신, 스스로 날아오르기를 선택한다.",개봉,새의 랩소디
A0013,애니메이션,https://image.tmdb.org/t/p/w500/jHzHbPVLF3Oi5HbJbQnc55LaHCZ.jpg,황천의 츠가이,"산 속 작은 마을에서 짐승을 사냥하며

대자연 속에서 조용히 살아가는 소년, 유르.

그러나 유르의 쌍둥이 여동생 아사는

어째서인지 마을 깊숙이 자리 잡은 감옥 안에서

어떠한 '책무'를 수행하고 있다.

흡사 그곳에 유폐 당한 것처럼....

평화로운 마을에 떠오르는 부자연스러운 수수께끼.

이 마을에 숨겨진 비밀이란...?!",방영 중,黄泉のツガイ
A0014,애니메이션,https://image.tmdb.org/t/p/w500/og3QLZOS8IGvikFcuHlYAVQ2zW9.jpg,新劇場版☆ケロロ軍曹 復活して速攻地球滅亡の危機であります！,,개봉,新劇場版☆ケロロ軍曹 復活して速攻地球滅亡の危機であります！
A0015,애니메이션,https://image.tmdb.org/t/p/w500/9tj6IveCi4eXS5Pq0MolwYFWqFY.jpg,바키도: 무적의 검사 편,"일본 사상 최강의 검사 미야모토 무사시. 그의 부활과 함께, 바키와 지하격투장의 강력한 격투가들은 시간을 초월해 등장한 위협과 직면한다.",방영 중,刃牙道
A0016,애니메이션,https://image.tmdb.org/t/p/w500/2X4ZnNyhvkrGmjP3qJPtJ2tVbtv.jpg,사랑해 게임을 끝내고 싶어,"같은 고등학교에 진학한 아사기 유키야와 사쿠라 미쿠는, '서로를 짝사랑하는' 소꿉친구.

자신의 마음을 깨닫고는 있지만...

지금이라도 좋아하는 감정이 흘러넘칠 거 같은데...

...그래도, 솔직해질 수는 없어!!

너무 가까우면서도 너무 먼 유키야와 미쿠.

두 사람을 이어주는 건, 초등학교 6학년 때 시작한 '사랑해 게임'.

서로 번갈아 가며 '사랑해'라고 말해서 먼저 부끄러워하는 쪽이 패배.

지금까지도 계속되고 있는 의지의 승부.

사랑해 게임에서 이기면 고백하고 싶다.

사랑해 게임에서 이겨서 좋아한다는 걸 확인받고 싶다.

서로에 대한 짝사랑을 졸업하기 위한,

감정을 있는 대로 담은 '사랑해 게임'이 시작된다!!",방영 중,愛してるゲームを終わらせたい
A0017,애니메이션,https://image.tmdb.org/t/p/w500/rirhpI3b2Tip0Vc3VVosEZiwJT7.jpg,청춘 블라썸: 우리의 봄,"자신의 절친을 위해 내뱉은 거짓말 한마디가 청섬고 2학년 윤보미의 일상을 뒤흔든다. 얼떨결에 시작된 최진영과의 계약 연애, 엇갈린 감정과 상처를 지나 진짜 마음을 찾아가는 풋풋한 첫사랑 이야기",방영 중,청춘 블라썸: 우리의 봄
A0018,애니메이션,https://image.tmdb.org/t/p/w500/l2kfiNoRi6ofM5pSjr1rCloOfpx.jpg,명탐정 코난: 하이웨이의 타천사,,개봉,名探偵コナン ハイウェイの堕天使
A0019,애니메이션,https://image.tmdb.org/t/p/w500/c1xQKHLnBWmOTOGb2a61j0ybbOO.jpg,"레플리카도, 사랑을 한다.","아이카와 스나오를 대신하여 평범하게 생활하던 소위 '레플리카'인 나오.

오직 오리지널인 스나오를 돕겠다는 생각으로 열심히 공부와 운동을 하며 학교생활을 보내던 어느 날,  사랑에 빠져 버렸다. 그 이후, 나오의 일상은 다채롭게 변해 간다.

교복 데이트, 비밀 약속... 둘만의 특별한 시간이 늘어 가지만, 가면 갈수록 나오가 말할 수 없는 것들도  늘어만 간다. 그런 나오를 보며 어느새 스나오도 초조함을 느끼게 되는데...

바닷가 마을에서 펼쳐지는 조금 신비롭고 달콤한 청춘 러브 스토리가 시작된다.",방영 종료,レプリカだって、恋をする。
A0020,애니메이션,https://image.tmdb.org/t/p/w500/ayhpfFHm1MtgPgLw3yN0euOUxsp.jpg,자칭 악역 영애인 약혼자 관찰기록.,,방영 종료,自称悪役令嬢な婚約者の観察記録。
